pmcid,synid,context
PMC10507917,syn3157743,P-AD portal (Synapse ID: syn3157743 ) [ 26 ]. The Boston Uni
PMC10510131,syn20933797,loaded from Synapse (ID: syn20933797) [ 18 ]. Raw data was se
PMC10510131,syn52087674,"Synapse, Project SynID: syn52087674 (10.7303/syn52087674). D"
PMC10510131,syn52087674,ID: syn52087674 (10.7303/syn52087674). Declarations Ethics ap
PMC10511325,syn11855121,ww.synapse.org/#!Synapse:syn11855121/wiki/513724 . Study desi
PMC10511325,syn51570682,ww.synapse.org/#!Synapse:syn51570682/wiki/ . The analysis dat
PMC10511325,syn51570682,ww.synapse.org/#!Synapse:syn51570682/datasets/ . This dataset
PMC10511325,syn51570682,ww.synapse.org/#!Synapse:syn51570682/ . Competing interests T
PMC10511328,syn51570682,ww.synapse.org/#!Synapse:syn51570682/wiki/ . The analysis dat
PMC10511328,syn51570682,ww.synapse.org/#!Synapse:syn51570682/datasets/ . This dataset
PMC10511327,syn51570682,ww.synapse.org/#!Synapse:syn51570682/wiki/ . For data request
PMC10511327,syn51570682,ww.synapse.org/#!Synapse:syn51570682/datasets/ . This dataset
PMC10512627,syn51061925,https://doi.org/10.7303/syn51061925 [ 44 ] on Synapse. Decla
PMC10512627,syn51061925,ers Synapse 2023 10.7303/syn51061925 36811190 45. Watson CT C
PMC10514332,syn26720761,"-6951 32 , GSE45270 30 , syn26720761 and TCGA-COAD 8 ), were"
PMC10514332,syn26720761,"with rma() function. For syn26720761, processed TPM matrix wa"
PMC10516495,syn38187184,https://doi.org/10.7303/syn38187184 . Supplementary Material
PMC10518080,syn51671684,data repository (SynID: syn51671684) or are available upon r
PMC10519377,syn22079621,ww.synapse.org/#!Synapse:syn22079621/ ). Comprehensive detail
PMC10535074,syn25686500,portal accession number syn25686500. ADSP data are available
PMC10539500,syn52256644,ww.synapse.org/#!Synapse:syn52256644 ). The publicly availabl
PMC10543041,syn50996324,https://doi.org/10.7303/syn50996324 ). To identify the most
PMC10543041,syn50996324,https://doi.org/10.7303/syn50996324 ). Both meQTLs and eQTLs
PMC10543129,syn21048999,"ww.synapse.org/#!Synapse:syn21048999 )’ ( Wells et al., 2020"
PMC10543369,syn26465623,"ww.synapse.org/#!Synapse:syn26465623 { Varn, 2022 }. We inclu"
PMC10545814,syn23667436,ww.synapse.org/#!Synapse:syn23667436/files/ ) that contains m
PMC10545906,syn25927432,ww.synapse.org/#!Synapse:syn25927432 ). 37 The RNA sequencing
PMC10546724,syn50996869,"apse.org , ProjectSynID: syn50996869). Access will be granted"
PMC10547713,syn26707219,copy procedures. 10.7303/syn26707219 (2022). Synapse. b) Azag
PMC10547713,syn52137895,ww.synapse.org/#!Synapse:syn52137895 . Competing interests Th
PMC10547713,syn26707219,ocedures Synapse 10.7303/syn26707219 4. Maier-Hein L Heidelbe
PMC10547771,syn3388564,https://doi.org/10.7303/syn3388564 . The LMM pipeline for D
PMC10548686,syn21241740,"sPage/StudyDetails?Study=syn21241740 . 73. Küçükali F, Sleege"
PMC10556090,syn1710250,"https://doi.org/10.7303/syn1710250 66 ). In this challenge,"
PMC10558209,syn27130803,ww.synapse.org/#!Synapse:syn27130803/wiki/616705 8 https://ww
PMC10558435,syn20808171,https://doi.org/10.7303/syn20808171 . Competing interests Th
PMC10560417,syn35106206,https://doi.org/10.7303/syn35106206 . The qualitative data u
PMC10563262,syn51109429,ect URL to data: 10.7303/syn51109429.1 Label Name of data fil
PMC10563262,syn51109429,ry name: Synapse 10.7303/syn51109429.1 1 Data file 2 Data ide
PMC10563262,syn51109431,ry name: Synapse 10.7303/syn51109431 3 Survey results The stu
PMC10563262,syn38269688,apse] under [DOI 10.7303/syn38269688.1] after registration as
PMC10563262,syn51109429,"National Survey. 10.7303/syn51109429.1. Retrieved May 19, 202"
PMC10563262,syn51109431,"rvey Instrument. 10.7303/syn51109431. Retrieved May 19, 2023."
PMC10568487,syn2580853,https://doi.org/10.7303/syn2580853 ). ROSMAP Study data wer
PMC10570048,syn6131484,ww.synapse.org/#!Synapse:syn6131484/wiki/402034 ) was conduc
PMC10571258,syn30821562,ww.synapse.org/#!Synapse:syn30821562 (Mayo and Mt. Sinai gene
PMC10571470,syn51758773,under the accession code syn51758773 ( https://www.synapse.or
PMC10571470,syn51758773,ww.synapse.org/#!Synapse:syn51758773/ ). The analysis and vis
PMC10581603,syn1710464,ww.synapse.org/#!Synapse:syn1710464 18. Carter SL Cibulskis
PMC10592607,syn5613798,ww.synapse.org/#!Synapse:syn5613798 ) (See Table S10 for a s
PMC10592607,syn5613798,ww.synapse.org/#!Synapse:syn5613798 ). Then we used cutadapt
PMC10592607,syn5613798,ww.synapse.org/#!Synapse:syn5613798 ). This table includes a
PMC10592607,syn5613798,"ww.synapse.org/#!Synapse:syn5613798 . All code, materials an"
PMC10592607,syn51664324,ww.synapse.org/#!Synapse:syn51664324 . All data are available
PMC10592666,syn4921369,"https://doi.org/10.7303/syn4921369 . References Abramov S ,"
PMC10592962,syn52331899,https://doi.org/10.7303/syn52331899 - Interactive resources:
PMC10593028,syn52267265,ww.synapse.org/#!Synapse:syn52267265 and CTCF ChIP-seq on hum
PMC10593028,syn52264219,ww.synapse.org/#!Synapse:syn52264219 . Reprints and permissio
PMC10593028,syn52264219,ww.synapse.org/#!Synapse:syn52264219/wiki/623312 . Browsable
PMC10593028,syn52264219,he project repository at syn52264219. References 1. Nestler E
PMC10593042,syn27130806,ww.synapse.org/#!Synapse:syn27130806/wiki/616714 . 4.6 Model
PMC10593042,syn50613972,ww.synapse.org/#!Synapse:syn50613972/wiki/620396 ). Multiple
PMC10600242,syn50614194,search purposes: 10.7303/syn50614194. Table 1 The summary of
PMC10600242,syn50614194,pository (Project SynID: syn50614194) at the website 10.7303/
PMC10600242,syn50614194,") at the website 10.7303/syn50614194. As shown in Table 3 , t"
PMC10600242,syn50614194,sets in Synapse (10.7303/syn50614194). The codes were develop
PMC10600242,syn50614194,"dataset Synapse 10.7303/syn50614194 44. Zheng, W.-L. & Lu, B"
PMC10600818,syn23627957,"ww.synapse.org/#!Synapse:syn23627957 ) for plasma and brain,"
PMC10602153,syn25686496,sPage/StudyDetails?Study=syn25686496 but further clinical inf
PMC10602154,syn52264219,ww.synapse.org/#!Synapse:syn52264219/wiki/623312. Browsable U
PMC10602154,syn52264219,he project repository at syn52264219. External validation set
PMC10602154,syn52267265,ww.synapse.org/#!Synapse:syn52267265 and CTCF ChIP-seq on hum
PMC10602154,syn52264219,ww.synapse.org/#!Synapse:syn52264219 . Reprints and permissio
PMC10602176,syn52138250,g data are available via syn52138250 at the AD Knowledge Port
PMC10602695,syn51475919,"itory, accession numbers syn51475919 ( https://www.synapse.or"
PMC10602695,syn20933797,"e.org/B6xD2proteomics ), syn20933797 ( https://www.synapse.or"
PMC10602695,syn25006611,"pse.org/consensus ), and syn25006611 ( https://www.synapse.or"
PMC10605063,syn2623706,ww.synapse.org/#!Synapse:syn2623706/files/ ) [ 7 ]. The Canc
PMC10605344,syn7824274,rom the Synapse project (syn7824274; https://www.synapse.org
PMC10605344,syn7824274,ww.synapse.org/#!Synapse:syn7824274 (accessed on 15 June 202
PMC10611347,syn3193805,ww.synapse.org/#!Synapse:syn3193805/wiki/217789 ) accessed o
PMC10611347,syn3193805,ww.synapse.org/#!Synapse:syn3193805/wiki/217789 accessed on
PMC10612362,syn3219045,ledge Portal (synapse ID syn3219045). A short description of
PMC10612362,syn3219045,ledge Portal (synapse ID syn3219045). ROSMAP resources and a
PMC10614458,syn26706564,ataset accession number: syn26706564; available from https://
PMC10614458,syn26706564,https://doi.org/10.7303/syn26706564 ) [ 13 ]. Six files incl
PMC10614458,syn26706564,"https://doi.org/10.7303/syn26706564 , http://www.cbioportal."
PMC10614458,syn26706564,database . Version 11.1. syn26706564. Available from: 10.7303
PMC10614458,syn26706564,"Available from: 10.7303/syn26706564 . 14. Scarpa A , Chang D"
PMC10615768,syn2759792,ww.synapse.org/#!Synapse:syn2759792/wiki/69613 . RNA-seq in
PMC10617196,syn22321061,"ww.synapse.org/#!Synapse:syn22321061 [ 144 ], and the imputed"
PMC10617196,syn23234712,"ww.synapse.org/#!Synapse:syn23234712 [ 89 , 145 ]. ROSMAP Alz"
PMC10617196,syn3388564,https://doi.org/10.7303/syn3388564 [ 55 ] and genotype can
PMC10617196,syn3157329,https://doi.org/10.7303/syn3157329 [ 55 ]. The processed ge
PMC10617196,syn22321061,ww.synapse.org/#!Synapse:syn22321061 . Accessed 25 Oct 2022.
PMC10617196,syn23234712,reference panel. 10.7303/syn23234712. https://www.synapse.org
PMC10617196,syn23234712,"ww.synapse.org/#!Synapse:syn23234712 . 146. Huang J, Sheng J,"
PMC10619509,syn43162820,https://doi.org/10.7303/syn43162820 . 2 https://www.niaaa.ni
PMC10622416,syn3157182,"the AD Knowledge Portal (syn3157182). Briefly, the dataset c"
PMC10622416,syn51361408,pt landing page (10.7303/syn51361408). The bulk brain and sin
PMC10622416,syn5550404,seq study (accession ID: syn5550404 ) and the Mayo Clinic Br
PMC10622416,syn51298412,AD) study (accession ID: syn51298412) [10.7303/syn2580853]. T
PMC10622416,syn2580853,D: syn51298412) [10.7303/syn2580853]. The rTg4510 mouse RNAs
PMC10622416,syn3157182,ms) study (accession ID: syn3157182 ). All summary results f
PMC10622416,syn51671671,nowledge Portal (10.7303/syn51671671). The source code poweri
PMC10622416,syn51674938,nowledge Portal (10.7303/syn51674938). Competing interests Ma
PMC10623726,syn26844071,ase under accession code syn26844071 [ 30 ]. Single-cell data
PMC10623726,syn26844071,under the accession code syn26844071 ( https://www.synapse.or
PMC10623726,syn26844071,ww.synapse.org/#!Synapse:syn26844071/files/ ) [ 30 ]. For hum
PMC10623726,syn26844071,"ww.synapse.org/#!Synapse:syn26844071/files/ . 31. Jiao A, Zha"
PMC10623894,syn22213272,"https://doi.org/10.7303/syn22213272 ). References Arain M ,"
PMC10624900,syn34512705,pse under accession code syn34512705 under controlled use con
PMC10624900,syn34512705,t Synapse accession code syn34512705 and is available upon co
PMC10625629,syn21991014,va O et al. (Synapse ID: syn21991014; DOI: https://doi.org/10
PMC10625629,syn21991014,https://doi.org/10.7303/syn21991014 ) 13 . The combined pan-
PMC10625629,syn21991014,"https://doi.org/10.7303/syn21991014 ), TISCH2, http://tisch."
PMC10628938,syn21984813,th identification number syn21984813. References 1. Kourea HP
PMC10629206,syn17038081,ww.synapse.org/#!Synapse:syn17038081/wiki/585622 ). Declarati
PMC10629934,syn21048999,"ww.synapse.org/#!Synapse:syn21048999 . References Calis JJA ,"
PMC10634790,syn1757055,"ww.synapse.org/#!Synapse:syn1757055 ; n=1,895). We took the"
PMC10634977,syn52468155,repository (Synapse ID: syn52468155) by following instructio
PMC10634977,syn22345750,ww.synapse.org/#!Synapse:syn22345750 ); see Supplementary Tab
PMC10634977,syn24193163,ww.synapse.org/#!Synapse:syn24193163/files ) Code Availabilit
PMC10635399,syn3387325,ledge Portal on Synapse (syn3387325) ( www.synapse.org ). Th
PMC10635399,syn8456638,ledge Portal on Synapse (syn8456638) ( www.synapse.org ). Th
PMC10636288,syn2623706,w.synapse.org/#!Synapse: syn2623706/wiki/ ) (downloaded on 3
PMC10636288,syn2623706,.synapse.org/\#!Synapse: syn2623706/wiki/ ). The CMSs clinic
PMC10636288,syn2623706,.synapse.org/\#!Synapse: syn2623706/wiki/ ). We conducted tw
PMC10636288,syn2623706,w.synapse.org//#!Synapse:syn2623706/wiki/ ). The TCGA datase
PMC10639075,syn26164834,: http://doi.org/10.7303/syn26164834 . Raw data can be downlo
PMC10639075,syn26148119,m http://doi.org/10.7303/syn26148119 . Code used throughout t
PMC10643363,syn18485175,edge Portal (Synapse ID: syn18485175). This dataset included
PMC10643363,syn4921369,"rtal with Project SynID: syn4921369, under 10.7303/syn492136"
PMC10643363,syn4921369,"yn4921369, under 10.7303/syn4921369. (SynapseID: syn17092080"
PMC10643363,syn17092080,/syn4921369. (SynapseID: syn17092080 and syn17092080). Count
PMC10643363,syn17092080,napseID: syn17092080 and syn17092080). Count matrix and annot
PMC10643363,syn12080241,e Portal with SynapseID: syn12080241 under 10.7303/syn1208024
PMC10643363,syn12080241,yn12080241 under 10.7303/syn12080241. SnRNA-seq data from the
PMC10643363,syn18485175,e Portal with SynapseID: syn18485175 under 10.7303/syn1848517
PMC10643363,syn18485175,yn18485175 under 10.7303/syn18485175. The respective contact
PMC10644972,syn42902915,rg/repo/v1/doi/locate?id=syn42902915&type=ENTITY 29/Ago/2023
PMC10649553,syn3193805,"ww.synapse.org/#!Synapse:syn3193805/wiki/217785 , accessed o"
PMC10651487,syn52297840,able on Synapse (10.7303/syn52297840). Associated genotype an
PMC10651487,syn52297840,/Datasets/DetailsPage?id=syn52297840 ). A cell browser websit
PMC10651789,syn24200411,"https://doi.org/10.7303/syn24200411 , https://www.synapse.or"
PMC10651789,syn24200411,"https://doi.org/10.7303/syn24200411 , https://www.synapse.or"
PMC10652011,syn41687327,able on Synapse (Syn ID: syn41687327) or within the Supplemen
PMC10652011,syn41687327,able on Synapse (Syn ID: syn41687327). Other publicly availab
PMC10652298,syn4896408,ww.synapse.org/#!Synapse:syn4896408 . The published human sn
PMC10652298,syn18485175,ww.synapse.org/#!Synapse:syn18485175 . The published Drosophi
PMC10652311,syn22255433,.synapse.org repository (syn22255433). Fastq files were align
PMC10652415,syn3388564,P-AD portal (synapse ID: syn3388564) and processed in detail
PMC10652415,syn3157322,P-AD portal (Synapse ID: syn3157322). We used the informatio
PMC10652415,syn26254632,1 http://doi.org/10.7303/syn26254632 Conflict of interest The
PMC10659492,syn26337520,ASTQ files from Synapse (syn26337520) and aligned them agains
PMC10659492,syn26337520,available from Synapse (syn26337520): https://adknowledgepor
PMC10659492,syn26337520,sPage/StudyDetails?Study=syn26337520 . The CMC data is availa
PMC10659492,syn23763487,https://doi.org/10.7303/syn23763487 . The qSVA data ( Jaffe
PMC10660488,syn7824274,"= 10,234) from Synapse (syn7824274; https://www.synapse.org"
PMC10660488,syn7824274,ww.synapse.org/#!Synapse:syn7824274 ) and reverse-phase prot
PMC10661827,syn52249105,TEMENT RNA‐seq datasets (syn52249105) are available at ( http
PMC10661827,syn52249098,"ww.synapse.org/#!Synapse:syn52249098 ). To access the data, a"
PMC10662149,syn2701943,ell expression profiles (syn2701943) were downloaded from th
PMC10662149,syn2701943,ell expression profiles (syn2701943) downloaded from the Pro
PMC10662149,syn2701943,ell expression profiles (syn2701943) were downloaded from th
PMC10662149,syn2701943,/identifiers.org/synapse/syn2701943 55. Swarbrick A Wu S AL-
PMC10663468,syn35811916,at synapse (Synapse ID: syn35811916 ). PDX clinical informat
PMC10667307,syn21998881,"huskinDB Synapse 10.7303/syn21998881 30. Freund, J. E., Mille"
PMC10667362,syn12025148,ww.synapse.org/#!Synapse:syn12025148 . ID mutations in each s
PMC10669538,syn3193805,ww.synapse.org/#!Synapse:syn3193805/wiki/217789 (accessed on
PMC10672174,syn35589856,he identification number syn35589856. Supplementary Materials
PMC10679640,syn4224222,ww.synapse.org/#!Synapse:syn4224222/wiki/401743 25 Geras KJ
PMC10679867,syn51228232,https://doi.org/10.7303/syn51228232 ). Datasets will be rele
PMC10680627,syn52264240,ww.synapse.org/#!Synapse:syn52264240 For the GWAS benchmarkin
PMC10680627,syn52234396,ww.synapse.org/#!Synapse:syn52234396 . Data from the pairwise
PMC10680636,syn2580853,"where the Synapse ID is syn2580853, and DOI is 10.7303/syn2"
PMC10680636,syn2580853,"0853, and DOI is 10.7303/syn2580853 . References Abe Y. , Ik"
PMC10681996,syn52673953,napse.org with the synID syn52673953. Competing interests Hol
PMC10684891,syn52052842,nowledge Portal (10.7303/syn52052842) and the PRIDE database
PMC10685699,syn22257780,"aborate, among which the syn22257780 project provides 55,284"
PMC10687892,syn26844071,ww.synapse.org/#!Synapse:syn26844071/ Human CRC scRNA-seq dat
PMC10689816,syn23446022,tal under accession code syn23446022 ( https://www.synapse.or
PMC10689816,syn23446022,ww.synapse.org/#!Synapse:syn23446022 ; see https://adknowledg
PMC10689816,syn52750861,tal under accession code syn52750861 as open data (10.7303/sy
PMC10689816,syn52750861,61 as open data (10.7303/syn52750861). Source data are provid
PMC10690099,syn52316987,https://doi.org/10.7303/syn52316987 . RNA-seq data from 687
PMC10690099,syn52339255,"https://doi.org/10.7303/syn52339255 . Briefly, this reposito"
PMC10690143,syn7222066,"ww.synapse.org/#!Synapse:syn7222066 ), as these centers use"
PMC10690143,syn7222066,"ww.synapse.org/#!Synapse:syn7222066 , and TCGA data at https"
PMC10691533,syn4976363,SeqV2 mRNA data (Synapse syn4976363). Normalized ATAC-seq pe
PMC10695556,syn51758062,https://doi.org/10.7303/syn51758062.1 ) so that researchers
PMC10695556,syn18485175,snRNA-seq data ( 10.7303/syn18485175 ) and the ROSMAP metadat
PMC10695556,syn3157322,OSMAP metadata ( 10.7303/syn3157322 ) were downloaded from h
PMC10695556,syn51758062,https://doi.org/10.7303/syn51758062.1 . All other relevant s
PMC10695556,syn18485175,disease Synapse 10.7303/syn18485175 References Amezquita RA
PMC10696419,syn22255433,ww.synapse.org/#!Synapse:syn22255433/wiki/604556 ) and was ge
PMC10703708,syn52625867,with the Project SynID: syn52625867. Funding This study was
PMC10704700,syn42902915,eiro (OOBr) 2022 10.7303/syn42902915 3 Oliveira KF Oliveira J
PMC10705658,syn52052829,ww.synapse.org/#!Synapse:syn52052829 Gaffney short-read cohor
PMC10705658,syn26207321,https://doi.org/10.7303/syn26207321 Roussos short-read batch
PMC10705658,syn52052829,ww.synapse.org/#!Synapse:syn52052829 IMGL short-read: Gene ex
PMC10706888,syn52309481,g author at synapse.org (syn52309481). Conflicts of Interest
PMC10708613,syn3193805,ww.synapse.org/#!Synapse:syn3193805/wiki/217789 (accessed on
PMC10708859,syn3193805,5–9 October 2015 10.7303/syn3193805 31. Atal D.K. Optimal De
PMC10709411,syn3388564,- AD 58 with Synapse IDs syn3388564 (bulk RNA-seq) and syn58
PMC10709411,syn5850422,"88564 (bulk RNA-seq) and syn5850422 (DNA methylation), using"
PMC10709411,syn3388564,".org/ , with Synapse IDs syn3388564 (bulk RNA-seq) and syn58"
PMC10709411,syn5850422,88564 (bulk RNA-seq) and syn5850422 (DNA methylation). Acces
PMC10710425,syn51549340,-dataset Synapse 10.7303/syn51549340 29. Duran‐Aniotz C The L
PMC10715669,syn11738319,ww.synapse.org/#!Synapse:syn11738319. De-novo non-negative ma
PMC10716771,syn52417670,ww.synapse.org/#!Synapse:syn52417670.1/datasets/
